0	15
1	4
2	4
3	10
4	3
5	8
6	8
7	9
8	7
9	10
10	7
11	6
12	8
13	15
14	8
15	2
16	6
17	10
18	2
19	8
20	10
21	10
22	7
23	5
24	6
25	13
26	5
27	11
28	4
29	5
30	5
31	7
32	5
33	4
34	11
35	12
36	7
37	7
38	10
39	7
40	13
41	10
42	11
43	9
44	6
45	9
46	7
47	11
48	4
49	10
50	5
51	14
52	8
53	7
54	6
55	6
56	6
57	8
58	4
59	6
60	11
61	13
62	13
63	7
64	8
65	7
66	6
67	4
68	4
69	7
70	5
71	6
72	14
73	15
74	13
75	7
76	7
77	8
78	13
79	7
80	9
81	12
82	8
83	11
84	15
85	5
86	6
87	6
88	4
89	13
90	14
91	7
92	8
93	5
94	8
95	5
96	11
97	10
98	10
99	9
