0.88	-0.503574	0.640579	-0.579717	0.210141	0.789859
0.89	-0.511935	0.639796	-0.573222	0.213389	0.786611
0.9	-0.52028	0.638822	-0.566758	0.216621	0.783379
0.91	-0.528605	0.637658	-0.560329	0.219835	0.780165
0.92	-0.536909	0.636305	-0.553936	0.223032	0.776968
0.93	-0.545189	0.634763	-0.547581	0.226209	0.773791
0.94	-0.553443	0.633034	-0.541267	0.229367	0.770633
0.95	-0.561667	0.631118	-0.534995	0.232503	0.767497
0.96	-0.569861	0.629018	-0.528767	0.235616	0.764384
0.97	-0.578021	0.626734	-0.522586	0.238707	0.761293
0.98	-0.586145	0.624267	-0.516454	0.241773	0.758227
0.99	-0.594231	0.621618	-0.510373	0.244814	0.755186
1	-0.602276	0.61879	-0.504344	0.247828	0.752172
1.01	-0.610278	0.615782	-0.49837	0.250815	0.749185
1.02	-0.618235	0.612598	-0.492452	0.253774	0.746226
1.03	-0.626145	0.609237	-0.486593	0.256703	0.743297
1.04	-0.634004	0.605702	-0.480795	0.259603	0.740397
1.05	-0.641811	0.601995	-0.475059	0.262471	0.737529
1.06	-0.649564	0.598116	-0.469387	0.265307	0.734693
1.07	-0.65726	0.594067	-0.463781	0.268109	0.731891
1.08	-0.664898	0.58985	-0.458244	0.270878	0.729122
1.09	-0.672474	0.585468	-0.452776	0.273612	0.726388
1.1	-0.679987	0.580921	-0.44738	0.27631	0.72369
1.11	-0.687434	0.576211	-0.442058	0.278971	0.721029
1.12	-0.694814	0.571341	-0.43681	0.281595	0.718405
1.13	-0.702124	0.566311	-0.43164	0.28418	0.71582
1.14	-0.709363	0.561125	-0.426548	0.286726	0.713274
1.15	-0.716527	0.555784	-0.421537	0.289232	0.710768
1.16	-0.723615	0.55029	-0.416608	0.291696	0.708304
1.17	-0.730625	0.544645	-0.411762	0.294119	0.705881
1.18	-0.737555	0.538852	-0.407002	0.296499	0.703501
1.19	-0.744403	0.532912	-0.402329	0.298836	0.701164
1.2	-0.751167	0.526828	-0.397744	0.301128	0.698872
1.21	-0.757845	0.520602	-0.393249	0.303375	0.696625
1.22	-0.764434	0.514236	-0.388846	0.305577	0.694423
1.23	-0.770934	0.507733	-0.384536	0.307732	0.692268
1.24	-0.777341	0.501095	-0.380321	0.30984	0.69016
1.25	-0.783655	0.494324	-0.376201	0.311899	0.688101
1.26	-0.789874	0.487424	-0.37218	0.31391	0.68609
1.27	-0.795995	0.480395	-0.368256	0.315872	0.684128
1.28	-0.802017	0.473242	-0.364433	0.317783	0.682217
1.29	-0.807937	0.465966	-0.360712	0.319644	0.680356
1.3	-0.813755	0.45857	-0.357093	0.321453	0.678547
1.31	-0.819469	0.451057	-0.353578	0.323211	0.676789
1.32	-0.825077	0.44343	-0.350169	0.324915	0.675085
1.33	-0.830576	0.435691	-0.346866	0.326567	0.673433
1.34	-0.835967	0.427843	-0.343671	0.328165	0.671835
1.35	-0.841246	0.419889	-0.340585	0.329708	0.670292
1.36	-0.846413	0.411832	-0.337608	0.331196	0.668804
1.37	-0.851466	0.403674	-0.334742	0.332629	0.667371
1.38	-0.856404	0.395419	-0.331989	0.334006	0.665994
